psi_g_formula_version,ansatz,group,regime,n,L,T,n_params,H_G,D_G,D_inter,D_mult,M_G,S_G,defect,Psi_raw,Psi_G
v12_gated,HEA,U(1),A_confined,6,2,40,36,0.8626018998909516,0.6067522753685047,0.21350455073700952,1.0,0.018134011553855772,0.9098358155223052,0.03149703941743346,0.769143923103345,0.6997946885307571
v12_gated,HEA,SU(2),A_confined,6,2,40,36,0.8495358457205598,0.7084940591702558,0.41698811834051164,1.0,0.05156463135850473,0.7788007830714304,0.08333333333332238,0.7892197197503494,0.614644935756987
v12_gated,HEA,S_n,A_confined,6,2,40,36,0.8626018998909516,0.6067522753685047,0.21350455073700952,1.0,0.018134011553855772,1.0,0.0,0.769143923103345,0.769143923103345
v12_gated,U1_equiv,U(1),A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
v12_gated,U1_equiv,SU(2),A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,0.8537525485233151,0.05270462766946591,0.0,0.0
v12_gated,U1_equiv,S_n,A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,0.7888565204765229,0.07905694150419705,0.0,0.0
v12_gated,SU2_equiv,U(1),A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
v12_gated,SU2_equiv,SU(2),A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
v12_gated,SU2_equiv,S_n,A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,0.7362495038917184,0.10206207261594999,0.0,0.0
v12_gated,Sn_equiv,U(1),A_confined,6,2,40,4,0.9736532471054645,0.6161571075446008,0.2323142150892016,1.0,0.0498513428828039,0.9400154596537491,0.020619652471056703,0.8363951177915598,0.7862243411029848
v12_gated,Sn_equiv,SU(2),A_confined,6,2,40,4,0.0,0.5000000000000002,3.917469735307726e-16,1.0,0.0,0.7333203722726147,0.10339086754457893,0.17500000000000007,0.12833106514770762
v12_gated,Sn_equiv,S_n,A_confined,6,2,40,4,0.9736532471054645,0.6161571075446008,0.2323142150892016,1.0,0.0498513428828039,1.0,0.0,0.8363951177915598,0.8363951177915598
v12_gated,U1_broken,U(1),A_confined,6,2,40,36,0.41235407926098894,0.540279650908066,0.08055930181613188,1.0,0.15712934037865592,0.9720161725610506,0.009460945407606792,0.44092979821828404,0.42859089483225277
v12_gated,U1_broken,SU(2),A_confined,6,2,40,36,0.3717688658672646,0.5879041077470633,0.17580821549412645,1.0,0.035440515974189075,0.8333511397343775,0.0607667297803291,0.44412228041782537,0.37010980856762554
v12_gated,U1_broken,S_n,A_confined,6,2,40,36,0.41235407926098894,0.540279650908066,0.08055930181613188,1.0,0.15712934037865592,0.7945914050925423,0.07664241743560868,0.44092979821828404,0.3503590279134375
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.8297160458670021,0.6056258805254888,0.21125176105097757,1.0,0.02032015942761242,0.9098358155223052,0.03149703941743346,0.7470694974145561,0.6797105854320113
v12_gated,HEA,SU(2),B_multi,6,2,40,36,0.8241475762188141,0.7045906618402453,0.40918132368049076,1.0,0.042433572288627076,0.7788007830714304,0.08333333333332238,0.7735597747483206,0.6024489583265514
v12_gated,HEA,S_n,B_multi,6,2,40,36,0.8297160458670021,0.6056258805254888,0.21125176105097757,1.0,0.02032015942761242,1.0,0.0,0.7470694974145561,0.7470694974145561
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541303,1.0,2.9740873228959783e-05,1.0,0.0,0.6117449513063444,0.6117449513063444
v12_gated,U1_equiv,SU(2),B_multi,6,2,40,36,0.7891658277795912,0.6876096776754417,0.3752193553508833,1.0,0.03926069400078218,0.8537525485233151,0.05270462766946591,0.7458753757230567,0.6367930029043448
v12_gated,U1_equiv,S_n,B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541303,1.0,2.9740873228959783e-05,0.7888565204765229,0.07905694150419705,0.6117449513063444,0.4825789937066028
v12_gated,SU2_equiv,U(1),B_multi,6,2,40,12,0.6348819291190607,0.5687897653277065,0.13757953065541303,1.0,2.974087322893734e-05,1.0,0.0,0.6117449513063444,0.6117449513063444
v12_gated,SU2_equiv,SU(2),B_multi,6,2,40,12,0.47375634419644186,0.6109362638326526,0.2218725276653053,1.0,4.5625891943411834e-05,1.0,0.0,0.5217639121801737,0.5217639121801737
v12_gated,SU2_equiv,S_n,B_multi,6,2,40,12,0.6348819291190607,0.5687897653277065,0.13757953065541303,1.0,2.974087322893734e-05,0.7362495038917184,0.10206207261594999,0.6117449513063444,0.4503969169075595
v12_gated,Sn_equiv,U(1),B_multi,6,2,40,4,0.9893687534187745,0.6276563861498019,0.2553127722996038,1.0,0.054520230797824185,0.9400154596537491,0.020619652471056703,0.8492842716794973,0.7983403450195021
v12_gated,Sn_equiv,SU(2),B_multi,6,2,40,4,0.4737563441964418,0.6109362638326526,0.2218725276653052,1.0,4.5625891943611856e-05,0.7333203722726147,0.10339086754457893,0.5217639121801736,0.3826201063183807
v12_gated,Sn_equiv,S_n,B_multi,6,2,40,4,0.9893687534187745,0.6276563861498019,0.2553127722996038,1.0,0.054520230797824185,1.0,0.0,0.8492842716794973,0.8492842716794973
v12_gated,U1_broken,U(1),B_multi,6,2,40,36,0.677892189844326,0.576101571130787,0.15220314226157397,1.0,0.13505746538279467,0.9720161725610506,0.009460945407606792,0.6193768730537956,0.6020443375185821
v12_gated,U1_broken,SU(2),B_multi,6,2,40,36,0.8142614946296769,0.6934353506978818,0.38687070139576346,1.0,0.04915820463628106,0.8333511397343775,0.0607667297803291,0.7619654359584362,0.6349847644941646
v12_gated,U1_broken,S_n,B_multi,6,2,40,36,0.677892189844326,0.576101571130787,0.15220314226157397,1.0,0.13505746538279467,0.7945914050925423,0.07664241743560868,0.6193768730537956,0.4921515398416407
