psi_g_formula_version,scope,component,spearman_vs_acc
v12_gated,U1_task,H_G,0.8944271909999159
v12_gated,U1_task,D_G,0.22360679774997896
v12_gated,U1_task,M_G,0.6708203932499368
v12_gated,U1_task,S_G,-0.12499999999999999
v12_gated,U1_task,Psi_G,0.8944271909999159
v12_gated,SU2_task,H_G,-0.10540925533894598
v12_gated,SU2_task,D_G,0.0
v12_gated,SU2_task,M_G,-0.10540925533894598
v12_gated,SU2_task,S_G,-0.8838834764831843
v12_gated,SU2_task,Psi_G,-0.10540925533894598
v12_gated,Sn_task,H_G,0.8660254037844386
v12_gated,Sn_task,D_G,0.28867513459481287
v12_gated,Sn_task,M_G,0.5773502691896257
v12_gated,Sn_task,S_G,-0.3227486121839514
v12_gated,Sn_task,Psi_G,0.8660254037844386
v12_gated,matched_task,H_G,0.6668859288553503
v12_gated,matched_task,D_G,0.5642880936468347
v12_gated,matched_task,M_G,0.5642880936468347
v12_gated,matched_task,S_G,0.0
v12_gated,matched_task,Psi_G,0.6668859288553503
