psi_g_formula_version,ansatz,task,task_group,final_acc,final_acc_std,final_loss,final_loss_std,conv_rate,conv_rate_std,n_train_seeds,is_matched,H_G,D_G,M_G,S_G,Psi_G
v12_gated,HEA,U1_task,U(1),0.8333333333333333,0.09960238411119945,0.5639225542878946,0.0518262619320434,0.24495796740077563,0.11715610662168005,8,True,0.8194282793358922,0.6042673321257453,0.03930738529955328,0.9098358155223053,0.6697169573619068
v12_gated,HEA,SU2_task,SU(2),1.0,0.0,0.33860873743317443,0.04339922674558012,0.236192029689696,0.1267024334069409,8,False,0.8194282793358922,0.6042673321257453,0.03930738529955328,0.9098358155223053,0.6697169573619068
v12_gated,HEA,Sn_task,S_n,1.0,0.0,0.2945446470557421,0.05446538141422237,0.23563253861059513,0.11388927133485807,8,False,0.8194282793358922,0.6042673321257453,0.03930738529955328,0.9098358155223053,0.6697169573619068
v12_gated,U1_equiv,U1_task,U(1),0.0,0.0,1.0960178108607195,0.0,0.0,0.0,8,True,0.6348819291190606,0.5687897653277064,2.9740873228938113e-05,1.0,0.6117449513063443
v12_gated,U1_equiv,SU2_task,SU(2),0.75,0.0,0.35396763119029473,7.850462293418876e-17,0.0,0.0,8,False,0.6348819291190606,0.5687897653277064,2.9740873228938113e-05,1.0,0.6117449513063443
v12_gated,U1_equiv,Sn_task,S_n,0.0,0.0,2.514527215893284,5.035498325101891e-16,0.0,0.0,8,False,0.6348819291190606,0.5687897653277064,2.9740873228938113e-05,1.0,0.6117449513063443
v12_gated,SU2_equiv,U1_task,U(1),0.0,0.0,1.0960178108607195,0.0,0.0,0.0,8,False,0.47375634419644186,0.6109362638326525,4.5625891943426796e-05,1.0,0.5217639121801737
v12_gated,SU2_equiv,SU2_task,SU(2),0.75,0.0,0.3539676311902947,4.6915485647975684e-17,0.0,0.0,8,True,0.47375634419644186,0.6109362638326525,4.5625891943426796e-05,1.0,0.5217639121801737
v12_gated,SU2_equiv,Sn_task,S_n,0.0,0.0,2.514527215893283,8.558701406786109e-16,0.0,0.0,8,False,0.47375634419644186,0.6109362638326525,4.5625891943426796e-05,1.0,0.5217639121801737
v12_gated,Sn_equiv,U1_task,U(1),1.0,0.0,0.37846259084908096,0.011464820844802836,0.8912502560643345,0.08858183898531416,8,False,0.8788362940903578,0.5931720006205857,0.15797224474359325,1.0,0.7444725688498114
v12_gated,Sn_equiv,SU2_task,SU(2),0.671875,0.026702914352569006,0.3525520522496508,0.008940337684873425,0.7414398414644305,0.3434984763735278,8,False,0.8788362940903578,0.5931720006205857,0.15797224474359325,1.0,0.7444725688498114
v12_gated,Sn_equiv,Sn_task,S_n,1.0,0.0,0.0902099096896046,2.4094568787130297e-05,0.9279932439466446,0.12077272363661753,8,True,0.8788362940903578,0.5931720006205857,0.15797224474359325,1.0,0.7444725688498114
v12_gated,U1_broken,U1_task,U(1),0.0,0.0,0.9923702134828383,0.012434548881381714,0.17513784382541944,0.08781888642914529,8,True,0.6940860285880829,0.5786235708184181,0.06715442280461903,0.9720161725610508,0.6240971079951991
v12_gated,U1_broken,SU2_task,SU(2),1.0,0.0,0.3399654162313792,0.02045785274936026,0.24385615620486972,0.1008940540405285,8,False,0.6940860285880829,0.5786235708184181,0.06715442280461903,0.9720161725610508,0.6240971079951991
v12_gated,U1_broken,Sn_task,S_n,0.0,0.0,1.443905750303925,0.07461874786687213,0.5602809281217496,0.3390495003274161,8,False,0.6940860285880829,0.5786235708184181,0.06715442280461903,0.9720161725610508,0.6240971079951991
